decision_id,origin_port,destination_port,recommended_vessel_class,optimal_speed_knots,bunker_stop_port,bunker_fuel_type,bunker_qty_tons,estimated_voyage_days,total_cost_usd,projected_margin_usd
DEC-0095,Maputo,Visakhapatnam (Inner),Handysize,12.5,Singapore,HSFO,978.0,8.7,1676609.25,162712.92
DEC-0096,Samarinda,Dhamra,Panamax,13.9,Fujairah,HSFO,857.3,19.4,2073318.44,419228.32
DEC-0097,Maputo,Dhamra,Panamax,13.9,Visakhapatnam,HSFO,876.4,19.9,1021026.14,173769.2
DEC-0098,Richards Bay,Haldia,Supramax,11.6,Visakhapatnam,LSMGO,429.6,22.2,1943006.59,304805.78
DEC-0099,Samarinda,Paradip,Handysize,13.4,Singapore,HSFO,457.5,13.0,1600737.59,346719.62
DEC-0100,Newcastle,Gopalpur,Panamax,13.4,Visakhapatnam,VLSFO,751.2,12.4,762420.66,102545.02
DEC-0101,Maputo,Paradip,Panamax,12.9,Fujairah,HSFO,999.5,14.4,2132564.06,357978.89
DEC-0102,Richards Bay,Dhamra,Panamax,12.7,Singapore,VLSFO,1191.6,27.5,2153282.36,219465.89
DEC-0103,Samarinda,Haldia,Handysize,12.2,Visakhapatnam,LSMGO,577.2,22.8,490984.23,79885.42
DEC-0104,Richards Bay,Gopalpur,Capesize,13.3,Singapore,VLSFO,635.8,14.2,2199920.26,229652.21
DEC-0105,Samarinda,Gangavaram,Handysize,12.2,Singapore,VLSFO,748.2,11.9,994890.32,206807.99
DEC-0106,Richards Bay,Dhamra,Supramax,12.8,Singapore,LSMGO,676.4,25.2,665414.26,131734.29
DEC-0107,Norfolk,Gangavaram,Capesize,12.4,Fujairah,HSFO,1064.3,15.2,1949076.67,407771.88
DEC-0108,Samarinda,Dhamra,Capesize,13.3,Fujairah,VLSFO,883.0,8.6,1564867.24,311785.64
DEC-0109,Newcastle,Paradip,Panamax,13.1,Singapore,VLSFO,775.2,14.9,642773.76,96501.62
DEC-0110,Newcastle,Haldia,Panamax,12.7,Singapore,HSFO,1199.2,30.6,2143671.37,327333.57
DEC-0111,Richards Bay,Gangavaram,Supramax,11.7,Singapore,HSFO,558.2,8.6,794781.89,171230.95
DEC-0112,Samarinda,Dhamra,Handysize,11.5,Rotterdam,HSFO,648.9,18.4,1484291.11,206911.22
DEC-0113,Samarinda,Paradip,Panamax,13.7,Visakhapatnam,LSMGO,1049.4,8.6,1381087.4,127280.43
DEC-0114,Norfolk,Dhamra,Handysize,12.5,Visakhapatnam,VLSFO,615.9,28.5,2153465.62,368435.84
DEC-0115,Maputo,Visakhapatnam (Outer),Supramax,12.0,Visakhapatnam,HSFO,951.6,18.6,515556.73,93354.7
DEC-0116,Richards Bay,Haldia,Supramax,12.0,Fujairah,VLSFO,906.3,30.6,1155161.08,119042.32
DEC-0117,Maputo,Gopalpur,Panamax,13.0,Rotterdam,VLSFO,643.9,17.7,1587984.06,208350.73
DEC-0118,Richards Bay,Paradip,Handysize,13.2,Singapore,HSFO,1129.7,15.0,1145069.23,162434.79
DEC-0119,Maputo,Visakhapatnam (Inner),Handysize,12.8,Visakhapatnam,LSMGO,629.2,29.4,700054.0,148594.9
DEC-0120,Norfolk,Dhamra,Panamax,13.9,Visakhapatnam,VLSFO,1107.4,19.6,1346992.58,220638.25
DEC-0121,Norfolk,Haldia,Supramax,12.2,Visakhapatnam,HSFO,850.9,29.1,1000827.55,193327.86
DEC-0122,Newcastle,Paradip,Handysize,12.7,Fujairah,VLSFO,537.6,18.6,1269755.79,255048.91
DEC-0123,Norfolk,Gopalpur,Panamax,13.9,Visakhapatnam,LSMGO,577.6,9.2,840728.97,88703.53
DEC-0124,Richards Bay,Paradip,Capesize,12.0,Singapore,LSMGO,1187.9,13.5,1556894.72,251467.47
DEC-0125,Maputo,Dhamra,Supramax,13.2,Fujairah,VLSFO,425.9,27.2,785887.76,65014.52
DEC-0126,Norfolk,Gopalpur,Handysize,12.7,Fujairah,LSMGO,1030.0,29.1,1355034.05,195053.17
DEC-0127,Richards Bay,Gopalpur,Panamax,13.1,Visakhapatnam,HSFO,1186.5,14.1,1352021.91,206040.87
DEC-0128,Richards Bay,Gopalpur,Panamax,12.3,Fujairah,VLSFO,985.3,24.2,1604905.89,170085.35
DEC-0129,Samarinda,Haldia,Panamax,12.6,Fujairah,HSFO,922.3,13.1,1172320.01,213676.47
DEC-0130,Richards Bay,Paradip,Handysize,13.7,Fujairah,VLSFO,1103.3,14.6,540844.42,82356.52
DEC-0131,Samarinda,Paradip,Supramax,12.3,Rotterdam,HSFO,402.3,10.7,452650.82,80304.19
DEC-0132,Samarinda,Visakhapatnam (Inner),Supramax,13.3,Visakhapatnam,HSFO,400.7,26.3,863844.88,184149.89
DEC-0133,Newcastle,Dhamra,Handysize,12.5,Rotterdam,LSMGO,882.3,9.5,1838982.35,355747.66
DEC-0134,Maputo,Dhamra,Capesize,12.2,Visakhapatnam,VLSFO,702.7,31.6,1991697.72,388871.47
DEC-0135,Richards Bay,Haldia,Supramax,12.1,Rotterdam,HSFO,559.2,25.9,1032038.28,84803.39
DEC-0136,Maputo,Paradip,Supramax,12.6,Visakhapatnam,HSFO,1119.5,30.3,538260.58,48649.7
DEC-0137,Maputo,Haldia,Supramax,13.5,Visakhapatnam,VLSFO,490.5,15.6,1270829.9,128704.17
DEC-0138,Norfolk,Gangavaram,Panamax,12.2,Rotterdam,LSMGO,844.4,30.8,1594333.75,146306.08
DEC-0139,Richards Bay,Dhamra,Supramax,13.4,Visakhapatnam,VLSFO,773.6,19.6,1782242.89,329031.72
DEC-0140,Maputo,Gangavaram,Panamax,11.6,Visakhapatnam,LSMGO,1110.0,21.5,1194921.1,104976.95
DEC-0141,Richards Bay,Dhamra,Panamax,11.6,Visakhapatnam,LSMGO,853.1,24.6,1427582.3,264689.25
DEC-0142,Samarinda,Gopalpur,Supramax,12.1,Singapore,HSFO,922.5,14.0,689508.6,92838.68
DEC-0143,Richards Bay,Visakhapatnam (Inner),Panamax,13.7,Rotterdam,LSMGO,1198.6,14.9,1189679.28,180671.26
DEC-0144,Newcastle,Gangavaram,Capesize,12.8,Singapore,LSMGO,737.3,22.3,1045272.41,159945.31
DEC-0145,Norfolk,Gopalpur,Capesize,13.0,Singapore,HSFO,1067.9,25.0,1943165.63,318297.69
DEC-0146,Richards Bay,Gopalpur,Capesize,12.6,Fujairah,LSMGO,419.5,9.4,2092838.77,235930.34
DEC-0147,Norfolk,Visakhapatnam (Inner),Handysize,12.3,Rotterdam,HSFO,1151.3,13.9,2011431.26,368292.5
DEC-0148,Norfolk,Haldia,Supramax,13.3,Rotterdam,VLSFO,916.0,19.7,1885171.71,220030.85
DEC-0149,Newcastle,Haldia,Panamax,12.7,Rotterdam,HSFO,689.6,31.5,1922920.22,321879.92
DEC-0150,Samarinda,Dhamra,Capesize,11.6,Visakhapatnam,VLSFO,1186.6,27.9,735981.89,97740.76
DEC-0151,Samarinda,Haldia,Supramax,13.1,Singapore,VLSFO,944.4,24.9,1502009.59,202730.22
DEC-0152,Newcastle,Gangavaram,Handysize,13.3,Rotterdam,LSMGO,996.2,22.3,1112734.33,119349.93
DEC-0153,Richards Bay,Visakhapatnam (Outer),Handysize,13.7,Visakhapatnam,LSMGO,1059.6,13.2,943567.15,127503.43
DEC-0154,Norfolk,Gopalpur,Panamax,12.8,Fujairah,HSFO,1020.9,14.8,621134.92,103823.02
DEC-0155,Norfolk,Haldia,Handysize,14.0,Visakhapatnam,VLSFO,1049.9,18.1,995521.27,216490.58
DEC-0156,Samarinda,Gangavaram,Capesize,13.7,Visakhapatnam,LSMGO,797.6,14.1,1539734.84,303027.45
DEC-0157,Norfolk,Gangavaram,Panamax,13.3,Visakhapatnam,HSFO,706.1,23.8,639068.71,78819.4
DEC-0158,Norfolk,Gopalpur,Panamax,13.1,Rotterdam,LSMGO,435.5,11.6,1203389.5,167951.59
DEC-0159,Maputo,Haldia,Handysize,12.6,Fujairah,HSFO,716.1,15.4,581989.0,115462.27
DEC-0160,Maputo,Paradip,Panamax,11.7,Visakhapatnam,VLSFO,495.5,21.4,1522778.37,254506.32
DEC-0161,Richards Bay,Haldia,Handysize,12.8,Fujairah,VLSFO,1091.3,14.7,1731568.49,142081.14
DEC-0162,Newcastle,Haldia,Handysize,11.8,Rotterdam,HSFO,1088.2,13.6,807921.38,94430.39
DEC-0163,Maputo,Dhamra,Capesize,13.8,Singapore,HSFO,553.5,20.0,1411564.98,230800.01
DEC-0164,Richards Bay,Visakhapatnam (Outer),Capesize,13.7,Rotterdam,VLSFO,835.8,17.6,1052350.97,131864.35
DEC-0165,Newcastle,Visakhapatnam (Outer),Supramax,12.2,Fujairah,VLSFO,493.9,10.4,1242604.17,136234.9
DEC-0166,Newcastle,Paradip,Supramax,13.6,Singapore,HSFO,941.0,23.9,1787439.54,392560.25
DEC-0167,Samarinda,Visakhapatnam (Inner),Supramax,12.6,Rotterdam,HSFO,659.7,27.1,1730167.34,220464.05
DEC-0168,Norfolk,Haldia,Handysize,13.9,Visakhapatnam,VLSFO,1179.8,11.8,1788914.01,314844.07
DEC-0169,Newcastle,Haldia,Panamax,13.8,Fujairah,HSFO,1113.7,17.9,1903852.29,279516.87
DEC-0170,Richards Bay,Gangavaram,Panamax,13.1,Singapore,VLSFO,859.8,16.5,978892.63,163967.31
DEC-0171,Maputo,Gopalpur,Handysize,13.0,Visakhapatnam,HSFO,503.2,29.7,1775731.61,390617.62
DEC-0172,Maputo,Visakhapatnam (Inner),Handysize,11.7,Fujairah,LSMGO,1151.6,8.6,1120629.0,217955.15
DEC-0173,Richards Bay,Gopalpur,Panamax,12.4,Visakhapatnam,LSMGO,634.5,29.6,518272.18,75352.33
DEC-0174,Newcastle,Paradip,Capesize,11.8,Rotterdam,LSMGO,884.8,11.9,1593590.43,320883.44
DEC-0175,Maputo,Visakhapatnam (Inner),Handysize,12.6,Rotterdam,LSMGO,1194.4,25.0,1727972.63,364132.53
DEC-0176,Richards Bay,Paradip,Capesize,13.4,Singapore,LSMGO,501.5,12.8,2068036.14,357258.34
DEC-0177,Norfolk,Gopalpur,Panamax,13.6,Fujairah,LSMGO,912.5,14.0,1324818.14,205023.37
DEC-0178,Newcastle,Gopalpur,Panamax,12.1,Rotterdam,LSMGO,713.7,29.0,648561.98,120124.23
DEC-0179,Richards Bay,Paradip,Capesize,12.6,Fujairah,LSMGO,499.5,14.0,737762.53,63057.59
DEC-0180,Samarinda,Gangavaram,Supramax,11.9,Visakhapatnam,LSMGO,545.0,20.5,1400648.31,239111.96
DEC-0181,Norfolk,Dhamra,Handysize,12.5,Visakhapatnam,HSFO,1091.6,23.5,728943.54,63649.76
DEC-0182,Samarinda,Gangavaram,Supramax,13.6,Singapore,VLSFO,419.9,24.5,607185.13,60310.05
DEC-0183,Samarinda,Paradip,Supramax,13.6,Singapore,VLSFO,600.1,19.4,1117029.46,230945.35
DEC-0184,Newcastle,Paradip,Capesize,13.3,Rotterdam,LSMGO,500.3,30.7,824999.94,70618.34
DEC-0185,Norfolk,Gangavaram,Capesize,13.8,Singapore,LSMGO,1003.2,14.5,750677.56,131232.05
DEC-0186,Norfolk,Haldia,Panamax,13.4,Rotterdam,LSMGO,716.7,17.9,1342486.39,225798.54
DEC-0187,Richards Bay,Visakhapatnam (Inner),Panamax,12.1,Singapore,VLSFO,1124.3,9.1,725152.04,99007.0
DEC-0188,Newcastle,Haldia,Handysize,13.7,Rotterdam,VLSFO,604.8,15.8,1058966.01,140913.24
DEC-0189,Richards Bay,Visakhapatnam (Outer),Panamax,12.1,Fujairah,HSFO,996.2,10.8,1515129.39,276129.19
DEC-0190,Richards Bay,Paradip,Panamax,13.8,Singapore,HSFO,449.2,8.6,961695.31,167678.05
DEC-0191,Richards Bay,Gangavaram,Handysize,13.4,Rotterdam,VLSFO,798.1,16.8,636004.0,75742.92
DEC-0192,Maputo,Visakhapatnam (Inner),Panamax,13.1,Fujairah,VLSFO,548.9,17.9,1345705.47,294096.57
DEC-0193,Richards Bay,Dhamra,Handysize,13.0,Rotterdam,LSMGO,998.6,9.4,889285.1,74985.14
DEC-0194,Norfolk,Paradip,Supramax,13.5,Visakhapatnam,HSFO,552.1,15.5,1643281.63,234641.37
DEC-0195,Samarinda,Haldia,Panamax,11.6,Singapore,LSMGO,762.5,23.5,588550.35,100756.33
DEC-0196,Newcastle,Haldia,Handysize,13.9,Fujairah,LSMGO,710.6,22.3,1692164.17,226717.32
DEC-0197,Samarinda,Haldia,Handysize,13.2,Singapore,HSFO,972.8,15.3,1574134.88,148819.42
DEC-0198,Richards Bay,Paradip,Handysize,13.6,Singapore,LSMGO,512.3,29.8,1756911.4,361810.67
DEC-0199,Norfolk,Gangavaram,Handysize,12.4,Fujairah,LSMGO,508.2,11.4,1045244.13,145875.95
DEC-0200,Richards Bay,Dhamra,Panamax,12.6,Singapore,VLSFO,570.7,26.2,1217006.91,252451.34
DEC-0201,Newcastle,Haldia,Panamax,13.1,Rotterdam,LSMGO,1074.2,22.4,1243283.76,247257.94
DEC-0202,Norfolk,Paradip,Handysize,13.2,Rotterdam,HSFO,678.8,23.9,905197.78,120371.7
DEC-0203,Norfolk,Haldia,Supramax,13.2,Visakhapatnam,LSMGO,1049.8,19.9,2055323.18,338964.49
DEC-0204,Newcastle,Gangavaram,Handysize,14.0,Rotterdam,VLSFO,1132.0,14.1,1083144.93,216801.94
DEC-0205,Maputo,Haldia,Handysize,11.8,Singapore,VLSFO,830.4,13.4,1384621.75,269646.23
DEC-0206,Newcastle,Paradip,Handysize,12.9,Rotterdam,VLSFO,438.0,9.6,1868843.02,300511.84
DEC-0207,Maputo,Dhamra,Panamax,11.6,Singapore,HSFO,735.3,12.8,1353903.37,221166.24
DEC-0208,Newcastle,Visakhapatnam (Outer),Supramax,12.6,Singapore,LSMGO,981.9,29.1,734395.89,134545.81
DEC-0209,Maputo,Paradip,Capesize,13.9,Singapore,HSFO,842.6,10.0,1111382.4,91949.86
DEC-0210,Norfolk,Visakhapatnam (Inner),Handysize,13.8,Visakhapatnam,LSMGO,1159.5,13.2,1380065.66,154857.17
DEC-0211,Newcastle,Paradip,Capesize,13.5,Visakhapatnam,VLSFO,949.7,10.6,1063059.08,231168.92
DEC-0212,Richards Bay,Dhamra,Panamax,13.3,Singapore,VLSFO,653.7,14.2,1849001.53,161685.01
DEC-0213,Newcastle,Visakhapatnam (Outer),Supramax,13.7,Fujairah,HSFO,853.3,18.1,456563.16,62937.71
DEC-0214,Samarinda,Gopalpur,Handysize,13.1,Rotterdam,VLSFO,663.4,31.6,624873.17,66790.61
DEC-0215,Samarinda,Dhamra,Handysize,12.3,Singapore,LSMGO,846.3,28.6,1249171.72,258594.03
DEC-0216,Richards Bay,Gangavaram,Panamax,11.6,Fujairah,LSMGO,642.6,21.7,631752.09,93378.79
DEC-0217,Richards Bay,Gopalpur,Handysize,12.8,Rotterdam,VLSFO,669.2,21.0,1618388.37,200985.32
DEC-0218,Newcastle,Haldia,Supramax,13.2,Visakhapatnam,HSFO,934.3,12.1,571205.94,87688.51
DEC-0219,Samarinda,Visakhapatnam (Inner),Supramax,12.0,Singapore,VLSFO,1095.3,24.2,560387.17,46907.49
DEC-0220,Maputo,Haldia,Supramax,13.0,Rotterdam,LSMGO,1133.4,24.9,570554.04,56176.67
DEC-0221,Maputo,Dhamra,Supramax,13.6,Visakhapatnam,VLSFO,808.9,19.1,637117.36,139010.72
DEC-0222,Samarinda,Dhamra,Handysize,11.6,Singapore,HSFO,417.8,26.9,1700743.77,341551.02
DEC-0223,Newcastle,Visakhapatnam (Outer),Handysize,13.2,Fujairah,VLSFO,695.0,16.5,1071708.19,180901.63
DEC-0224,Richards Bay,Gopalpur,Capesize,12.5,Fujairah,LSMGO,430.5,27.6,774199.71,64670.91
DEC-0225,Norfolk,Gangavaram,Capesize,13.3,Fujairah,LSMGO,581.9,29.6,2126554.83,274388.45
DEC-0226,Maputo,Gopalpur,Handysize,13.2,Visakhapatnam,VLSFO,896.6,18.5,642268.3,106296.02
DEC-0227,Newcastle,Visakhapatnam (Outer),Capesize,11.8,Fujairah,LSMGO,456.8,21.6,1520367.12,234768.56
